aesthetics,memory,quality,anomaly,frame
4.088742975,0.692,5.150288388,0.198999149,1
4.056082481,0.688,5.297190644,0.193792013,2
4.052383492,0.692,5.395670623,0.193396854,3
4.151826406,0.684,5.428095743,0.178215179,4
4.094706981,0.696,5.364999406,0.187771005,5
4.028021,0.699,5.296833009,0.134066008,6
4.038244126,0.688,5.358873159,0.105951509,7
4.083963315,0.706,5.310040839,0.118644659,8
4.06704067,0.702,5.36575342,0.129412629,9
4.081966008,0.708,5.326465353,0.147379294,10
4.096665463,0.706,5.429691985,0.239294796,11
4.128338535,0.683,5.652223386,0.42278135,12
4.053541063,0.696,5.540546894,0.590021248,13
4.067016985,0.701,5.615196593,0.538377887,14
4.127552932,0.707,5.613294967,0.500560108,15
4.298770585,0.682,5.384469092,0.611508619,16
4.054087194,0.693,5.434635945,0.516444697,17
4.150903496,0.681,5.490517519,0.495329563,18
4.051506152,0.679,5.392504849,0.422513401,19
4.069140813,0.695,5.556569017,0.362490639,20
4.036411782,0.697,5.468095608,0.268472476,21
4.087186888,0.697,5.412715621,0.157896883,22
4.030382081,0.716,5.484816879,0.147385134,23
4.097806523,0.715,5.456328161,0.121942139,24
4.18853116,0.716,5.477838919,0.076541065,25
4.148439256,0.712,5.494162768,0.093704567,26
4.032477686,0.707,5.540705353,0.107518419,27
4.103188079,0.706,5.55855763,0.122628703,28
4.05154455,0.703,5.535043612,0.209968981,29
4.038940264,0.703,5.454313681,0.164838337,30
4.02195759,0.704,5.531364582,0.078874203,31
4.022629056,0.699,5.451763384,0.075310429,32
4.033930807,0.702,5.450058497,0.028305509,33
4.007733913,0.697,5.550569497,0.023957403,34
3.993856722,0.695,5.489217505,0.034210304,35
4.024515159,0.701,5.48797176,0.040938606,36
4.054079701,0.697,5.468704648,0.051007165,37
4.009335559,0.699,5.525852308,0.064851092,38
4.040258488,0.701,5.421300486,0.041228405,39
4.032381895,0.704,5.421102606,0.073464232,40
4.045227499,0.702,5.421778932,0.051378429,41
4.041011417,0.706,5.492990464,0.041184704,42
4.051987641,0.706,5.48876483,0.044155984,43
4.038934978,0.708,5.538889341,0.04120855,44
4.049548206,0.708,5.568660267,0.036793823,45
4.020650541,0.71,5.458784103,0.036414529,46
4.068790063,0.71,5.514054418,0.033518874,47
4.075464184,0.713,5.51076591,0.032536867,48
4.002850313,0.712,5.448827654,0.031290804,49
4.033883,0.709,5.484615259,0.03265741,50
3.999506851,0.71,5.415764026,0.044618105,51
3.989846424,0.708,5.560997404,0.029483246,52
4.011632824,0.71,5.49792283,0.036111007,53
4.040741565,0.711,5.536682025,0.031150649,54
4.016654744,0.709,5.508335404,0.032951199,55
4.039399295,0.709,5.492176615,0.02631867,56
4.050394726,0.714,5.488571256,0.03339293,57
4.024516421,0.708,5.571211293,0.027333039,58
4.029813899,0.707,5.481077679,0.026550168,59
4.03678233,0.709,5.392914727,0.037832574,60
4.034458376,0.71,5.520292938,0.023741818,61
4.043465543,0.707,5.465001024,0.027857744,62
4.044463606,0.709,5.437776782,0.025668508,63
4.070636752,0.706,5.476180263,0.017869141,64
4.030065645,0.704,5.367530927,0.013787622,65
4.0528534,0.709,5.477057852,0.018006668,66
4.056919781,0.706,5.442125462,0.009651793,67
4.051177346,0.705,5.431996085,0.022616979,68
4.027148016,0.706,5.437706456,0.022998609,69
4.058199043,0.706,5.479599401,0,70
4.049862528,0.707,5.466973945,0.020835214,71
4.077259209,0.705,5.414589383,0.004571817,72
4.044362701,0.713,5.463047042,0.008989513,73
4.084737888,0.71,5.410628229,0.024789669,74
4.033444777,0.707,5.505391151,0.018430685,75
3.972246867,0.707,5.451634578,0.041675879,76
4.000845725,0.708,5.454567418,0.038034095,77
4.038868193,0.712,5.456220612,0.040977879,78
4.043098978,0.714,5.490819834,0.03425201,79
4.05174365,0.714,5.460483715,0.034726492,80
4.051320216,0.715,5.482213013,0.029822489,81
4.018509777,0.714,5.457344711,0.03040014,82
4.009823772,0.717,5.475055739,0.02577411,83
4.04897255,0.713,5.482798912,0.037255117,84
4.036012887,0.717,5.402808502,0.033866049,85
4.061964243,0.714,5.440274514,0.029111398,86
4.02539425,0.718,5.455416381,0.034428809,87
4.06235993,0.715,5.459834598,0.027432072,88
4.052153388,0.717,5.452616289,0.034320871,89
4.04457152,0.716,5.486124448,0.028877466,90
4.03815155,0.717,5.441204123,0.029090716,91
4.0839284,0.716,5.455565535,0.025666804,92
4.011585457,0.716,5.454192609,0.032375543,93
4.030245101,0.717,5.49580732,0.02820341,94
4.028440159,0.715,5.50439553,0.023507546,95
4.026867657,0.713,5.549673505,0.024128947,96
4.045318463,0.718,5.491423488,0.020043194,97
4.038657517,0.715,5.532849811,0.012914916,98
4.020686573,0.715,5.561956622,0.019265968,99
4.018612032,0.712,5.487415522,0.01472734,100
4.009931183,0.715,5.352099769,0.012326996,101
4.013215221,0.712,5.439872436,0.016129666,102
4.047278805,0.714,5.420251876,0.009627363,103
4.060012219,0.71,5.50264816,0.003287796,104
4.057548782,0.709,5.474815279,0.016552904,105
4.029293693,0.71,5.415873773,0.007272715,106
4.040980971,0.715,5.434128143,0.018851003,107
3.967898294,0.716,5.456349306,0.022113444,108
4.010966302,0.717,5.445947088,0.031209436,109
4.061164555,0.717,5.406827681,0.043374232,110
4.03845265,0.719,5.482333332,0.040731635,111
4.049580463,0.717,5.543904968,0.033442227,112
4.031867225,0.718,5.442704871,0.034633688,113
4.021973616,0.718,5.473391086,0.033051741,114
4.001823596,0.718,5.421984725,0.034027276,115
3.99976892,0.719,5.433425874,0.038248415,116
4.036872375,0.717,5.360538319,0.036257293,117
4.006532812,0.719,5.446288504,0.036299534,118
3.99506676,0.718,5.461283363,0.032641545,119
4.015287937,0.718,5.457535028,0.033446705,120
4.041133121,0.717,5.477145776,0.037112383,121
4.016062198,0.718,5.428312242,0.02916892,122
4.032019403,0.714,5.466729388,0.03349172,123
4.074738641,0.713,5.492691293,0.032270622,124
4.064912272,0.715,5.434079401,0.029601502,125
4.018882266,0.713,5.374145955,0.034928451,126
4.025800341,0.712,5.455381282,0.02803391,127
4.032834878,0.715,5.350378424,0.030883431,128
4.034341201,0.713,5.465840034,0.021411892,129
4.018929611,0.714,5.478666812,0.026842303,130
4.033062646,0.713,5.430685781,0.020284523,131
4.039652871,0.712,5.463308305,0.015095635,132
4.037137413,0.717,5.483936824,0.016748196,133
4.039884351,0.713,5.492608137,0.012431869,134
4.038924686,0.71,5.361922137,0.014182391,135
4.039403307,0.708,5.366302073,0.013291192,136
4.079582225,0.713,5.401104718,0.01033568,137
4.054758898,0.708,5.478287019,0.011318223,138
4.09007471,0.715,5.429549783,0.008313705,139
4.061654568,0.716,5.463453889,0.016115018,140
4.027224501,0.715,5.440555543,0.0263613,141
4.015506715,0.716,5.454211518,0.022599265,142
4.037745622,0.713,5.350984067,0.04800581,143
4.0463184,0.721,5.501731493,0.042769329,144
4.067937658,0.719,5.43793878,0.036867112,145
4.053885484,0.714,5.50090687,0.036062536,146
4.049033317,0.718,5.407630458,0.034864068,147
4.041472709,0.716,5.475793704,0.031355042,148
4.024771049,0.717,5.391702749,0.025517452,149
4.033991236,0.717,5.361709684,0.03508851,150
4.001843148,0.717,5.399809361,0.039178935,151
4.04795805,0.72,5.403522268,0.031014047,152
4.095439788,0.715,5.445860744,0.03152167,153
4.043052542,0.714,5.37399859,0.034274201,154
4.100688301,0.72,5.444082551,0.030763229,155
4.060159303,0.719,5.478874944,0.030807514,156
4.059701717,0.722,5.442686073,0.031135806,157
4.061223227,0.718,5.432272986,0.030322423,158
4.053970175,0.717,5.480332255,0.028566547,159
4.100212529,0.717,5.395220175,0.039685633,160
4.05648746,0.715,5.44413165,0.035828945,161
4.107859641,0.71,5.550133385,0.061076113,162
4.037272394,0.706,5.620438315,0.091687166,163
4.068470644,0.713,5.624835879,0.088550231,164
4.034386889,0.712,5.47965239,0.103804465,165
4.020979033,0.701,5.387585633,0.179031824,166
4.053077701,0.719,5.322877906,0.197912804,167
4.093049482,0.716,5.414444104,0.133678636,168
4.059346402,0.706,5.394628555,0.124374602,169
4.081247806,0.706,5.336886249,0.07790188,170
4.093639713,0.711,5.380215488,0.103667669,171
4.123685378,0.718,5.433479346,0.096966814,172
4.093159601,0.713,5.357152894,0.084880368,173
4.047453892,0.72,5.367071494,0.147616827,174
4.034646577,0.705,5.452888966,0.211610056,175
4.013022497,0.713,5.396521673,0.205370008,176
4.18369343,0.704,5.445119224,0.278287247,177
4.063689593,0.716,5.303146742,0.506658687,178
4.067515137,0.769,5.46247673,0.830848402,179
4.049663616,0.801,5.724652153,0.975438423,180
4.095966374,0.708,5.557329237,1,181
4.095445478,0.714,5.461171709,0.631254909,182
4.095445478,0.714,5.461171709,0.631254909,183
